





ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
11017429;"100 años de la Gran Vía";"";"0";"0";"";"";"2019-10-25 00:00:00.0";"2019-10-25 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=674907298aa2d610VgnVCM1000001d4a900aRCRD";"100 años de la Gran Vía";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48fb6ad2754da610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=697c598d1351c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal La Elipa (Ciudad Lineal)";"444705";"4474959";"40.42342659084215";"-3.651841641389484";"CIUDAD LINEAL";"/contenido/actividades/ExcursionesItinerariosVisitas";"";
10995310;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-10-16 00:00:00.0";"2019-10-16 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=041517f605b3c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=89a40a47f441f010VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Portazgo (Puente de Vallecas)";"444376";"4471605";"40.393189968014696";"-3.6554147649183943";"PUENTE DE VALLECAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10995283;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-11-28 00:00:00.0";"2019-11-28 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=086217f605b3c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5c548d20675e010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal)";"445570";"4475617";"40.42941133441142";"-3.6416899839787695";"CIUDAD LINEAL";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10995268;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-11-25 00:00:00.0";"2019-11-25 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=031117f605b3c610VgnVCM2000001f4a900aRCRD";"Cuentos infantiles en la Biblioteca Pública Municipal Miguel Delibes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=39d89e6ad12f1510VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e8f3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Miguel Delibes (Moratalaz)";"444597";"4473439";"40.40971737692924";"-3.6529822109115133";"MORATALAZ";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10994784;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-10-14 00:00:00.0";"2019-10-14 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c1cda15564d2c610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"CENTRO";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10991642;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-10-15 00:00:00.0";"2019-10-15 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9d3b8828ad1c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Conde Duque (Centro)";"439723";"4475438";"40.42738668300474";"-3.7105999955473625";"CENTRO";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10991482;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-10-17 00:00:00.0";"2019-10-17 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2116c4b4e791c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Canillejas (San Blas-Canillejas)";"448119";"4477485";"40.44640229188281";"-3.6117933204271098";"SAN BLAS-CANILLEJAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10995608;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-11-27 00:00:00.0";"2019-11-27 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f769a06eaad3c610VgnVCM1000001d4a900aRCRD";"Cuentos infantiles en la Biblioteca Pública Municipal Pozo del Tío Raimundo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3da48dbb262f1510VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7203d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas)";"443950";"4469433";"40.3735856436473";"-3.6602546064905397";"PUENTE DE VALLECAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10994113;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-11-26 00:00:00.0";"2019-11-26 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e422283da182c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Huerta de la Salud (Hortaleza)";"445295";"4480968";"40.47571688103069";"-3.64667257750353";"HORTALEZA";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10995290;"Abuelas, madres e hijas, de Alberto Sebastián";"";"1";"0";"";"";"2019-10-18 00:00:00.0";"2019-10-18 23:59:00.0";"18:00";"Un espectáculo de narración oral conformado por una selección de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en común una serie de protagonistas femeninas. Niñas y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? Vámonos de aventuras. Para niños y niñas a partir de 5 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c78317f605b3c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Pío Baroja (Arganzuela)";"439967";"4472399";"40.40003652682007";"-3.7074488154950584";"ARGANZUELA";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
